Código da Loja;Código do Fornecedor;Nome do Fornecedor;Número do Documento;codigo da operacao;Operação;Situação;Data De Emissão;Data de entrada;Frete;Outros;Seguro;Desconto;IPI;DAE;ICMS Desonerado;FECOP;Valor FECOPST;FECOP Retido;Base de Cálculo ICMS;Valor BC do ICMS;Base de Cálculo ICMSST;Valor BC ICMSST;Valor Total;Código do produto;Descrição Produto;Unidade de medida;Quantidade de itens na unidade;Quantidade de itens;CFOP;Frete do item;Seguro do item;Desconto do item;IPI do item;Base de cálculo do ICMS do item;ICMS do item;Base de calculo do ICMS ST do item;ICMS ST do item;DAE Item;ICMS desonerado do item;ICMS antecipado do item;FECOP do item;FECOP ST do item;FECOP retido do item;Valor unitário;Outras despesas do item;Valor total do item
1;198;PATRÃO DAS VERDURAS LTDA;23052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;23/05/2026;23/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;586,50;000000000012304;COUVE UN.;UN;1,00;40,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,50;0,00;60,00
1;198;PATRÃO DAS VERDURAS LTDA;23052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;23/05/2026;23/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;586,50;000000000012306;HORTELA UN;UN;1,00;15,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,90;0,00;13,50
1;198;PATRÃO DAS VERDURAS LTDA;23052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;23/05/2026;23/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;586,50;000000000004803;JILO KG;KG;17,00;1,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;90,00;0,00;90,00
1;198;PATRÃO DAS VERDURAS LTDA;23052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;23/05/2026;23/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;586,50;000000000012320;SALSINHA UN;UN;1,00;40,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,70;0,00;68,00
1;10;PEDRA;18052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;18/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;30,00;0,00;0,00;17929,00;000000000010523;ABACATE KG;CX;36,70;1,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;100,00
1;10;PEDRA;18052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;18/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;30,00;0,00;0,00;17929,00;000000000004802;ABACAXI GRANDE UN.;CX;20,00;1,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;0,00;150,00
1;10;PEDRA;18052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;18/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;30,00;0,00;0,00;17929,00;000000000010505;ABOBRINHA KG;CX;40,70;1,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;130,00;0,00;130,00
1;10;PEDRA;18052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;18/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;30,00;0,00;0,00;17929,00;000000000011048;AIPIM KG;KG;87,90;1,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;0,00;150,00
1;10;PEDRA;18052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;18/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;30,00;0,00;0,00;17929,00;000000000010518;BANANA DAGUA KG;CX;65,90;1,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;240,00;0,00;240,00
1;10;PEDRA;18052026;3;COMPRA PARA COMERCIALIZAÇAO - NOTA BRANCA;EFETIVADA;18/05/2026;19/05/2026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;30,00;0,00;0,00;17929,00;000000000004801;BANANA PRATA KG;CX;161,70;1,00;1102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;900,00;0,00;900,00
