Quebra;Quebra2;Código;Descrição;Quantidade;Faturamento;Preço médio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participação;Acumulado;Classificação;ICMS ST;Fecop ST
22/05/2026;;00000000010627;MACA GALA KG;8,575;77,09;8,99;60,32;0,00;0,00;16,77;21,75;27,80;0,88;50,39;;;
22/05/2026;;00000000002137;MACA GALA SC 850GR;26,000;129,74;4,99;107,58;0,00;0,00;22,16;17,08;20,60;1,16;51,55;;;
22/05/2026;;00000000010529;MACA VERDE KG;1,240;21,07;16,99;14,47;0,00;0,00;6,60;31,32;45,60;0,34;51,89;;;
22/05/2026;;00000000007657;MAMAO FORMOSA KG;4,311;25,82;5,99;14,13;0,00;0,00;11,69;45,29;82,79;0,61;52,50;;;
22/05/2026;;00000000005062;MAMAO PAPAIA UN.;16,000;71,84;4,49;55,52;0,00;0,00;16,32;22,72;29,39;0,85;53,35;;;
22/05/2026;;00000000010525;MANGA PALMER KG;27,090;162,21;5,99;121,89;0,00;0,00;40,32;24,86;33,08;2,10;55,46;;;
22/05/2026;;00000000010522;MARACUJA KG;27,520;218,77;7,95;159,93;0,00;0,00;58,84;26,90;36,79;3,07;58,53;;;
22/05/2026;;00000000004889;MELANCIA KG;9,063;34,35;3,79;27,60;0,00;0,00;6,75;19,65;24,46;0,35;58,88;;;
22/05/2026;;00000000010521;MELAO COMUM KG;5,931;30,78;5,19;23,96;0,00;0,00;6,82;22,15;28,46;0,36;59,24;;;
22/05/2026;;00000000010684;MORANGO BANDEJA UN.;33,000;263,67;7,99;141,50;0,00;0,00;122,17;46,33;86,34;6,38;65,61;;;
22/05/2026;;00000000004405;MOSTARDA UN;18,000;39,82;2,21;21,80;0,00;0,00;18,02;45,25;82,66;0,94;66,55;;;
22/05/2026;;00000000011612;MOUSSE DE LIMAO DA CASA P;3,000;11,97;3,99;0,00;0,00;0,00;11,97;100,00;0,00;0,62;67,18;;;
22/05/2026;;00000000011609;MOUSSE DE MARACUJA DA CASA P;1,000;3,99;3,99;0,00;0,00;0,00;3,99;100,00;0,00;0,21;67,39;;;
22/05/2026;;00000000007432;OVOS CAIPIRA C/12;3,000;38,97;12,99;30,00;0,00;0,00;8,97;23,02;29,90;0,47;67,86;;;
22/05/2026;;00000000008064;OVOS CARTELA COM 20;33,000;395,67;11,99;90,00;0,00;0,00;305,67;77,25;339,63;15,95;83,81;;;
22/05/2026;;00000000002519;OVOS CARTELA COM 30;44,000;790,56;17,97;609,15;0,00;0,00;181,41;22,95;29,78;9,47;93,28;;;
22/05/2026;;00000000010512;PEPINO JAPONES KG;3,040;15,17;4,99;13,33;0,00;0,00;1,84;12,14;13,82;0,10;93,37;;;
22/05/2026;;00000000010513;PEPINO KG;5,255;25,70;4,89;20,86;0,00;0,00;4,84;18,82;23,19;0,25;93,63;;;
